Player,Sim,1,2,3,4
Al Thornton,,2.2,1.6,1.3,1.1
Joe Bryant,96.2,2.2,1.5,1.3,1.2
Corie Blount,89.5,2.5,1.7,1.2,0.9
Quincy Acy,88.6,2.5,1.7,1.5,1.1
Robert Traylor,88.3,2.5,1.9,1.2,1.0
Jason Smith,87.9,2.2,1.6,1.5,0.7
Mark Bryant,86.1,2.1,2.1,1.1,1.0
Pete Chilcutt,85.8,2.1,1.5,1.0,0.7
Larry Staverman,84.9,1.6,1.4,1.2,1.1
Mark Madsen,84.2,2.7,1.9,1.1,1.1
James Hardy,83.3,2.5,1.8,1.3,0.7
