Player,Sim,1,2,3,4,5
Henry Walker,,1.9,1.1,0.9,0.5,0.5
Pete Verhoeven,88.0,2.1,1.2,0.8,0.7,0.4
Bob Portman,87.7,1.9,1.2,0.8,0.5,
Tom Hammonds,86.9,2.2,0.8,0.8,0.6,0.5
Steve Novak,85.9,2.2,1.1,0.9,0.4,0.3
Cliff Meely,84.3,1.8,1.2,1.0,0.4,0.2
Scott Hastings,83.2,2.1,1.3,0.8,0.4,0.1
Jud Buechler,81.1,1.8,1.5,1.2,0.5,0.4
Charles Davis,80.4,2.1,1.5,1.0,0.9,0.3
Anthony Randolph,80.3,1.6,1.5,1.1,0.5,0.5
Tellis Frank,80.1,2.0,1.1,0.6,0.3,0.1
