Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2008-09,23,ORL,NBA,SG,77,1939,10.7,.556,.376,.174,1.1,9.1,5.2,7.6,2.0,0.5,10.6,15.5,,1.3,3.1,4.4,.108,,-1.0,1.5,0.5,1.2
2009-10,24,NJN,NBA,SG,71,2375,12.8,.525,.290,.197,2.8,9.7,6.1,9.0,2.1,0.6,8.3,17.7,,1.8,1.3,3.1,.063,,-0.2,-0.6,-0.8,0.7
2010-11,25,HOU,NBA,SG,81,1723,12.6,.534,.302,.208,3.3,10.4,6.9,8.9,1.7,0.7,9.8,17.9,,1.6,1.1,2.7,.076,,-0.5,-0.9,-1.4,0.2
2011-12,26,HOU,NBA,SG,58,1757,12.6,.534,.374,.148,1.7,8.9,5.2,7.9,2.0,0.9,9.4,17.6,,1.8,1.4,3.2,.087,,0.4,-0.1,0.3,1.0
2012-13,27,BOS,NBA,SG,78,1941,11.7,.545,.294,.136,1.9,9.4,5.8,11.7,2.4,0.9,13.0,15.7,,0.9,2.4,3.3,.082,,-1.1,0.8,-0.3,0.8
2013-14,28,TOT,NBA,SG,79,1973,13.8,.574,.316,.182,1.7,9.5,5.6,9.3,1.7,1.2,9.9,17.0,,2.8,1.9,4.7,.114,,0.5,-0.1,0.4,1.2
2013-14,28,BOS,NBA,SG,30,504,14.6,.573,.284,.120,1.8,9.5,5.5,10.9,2.0,1.4,11.5,19.2,,0.6,0.4,1.0,.094,,-0.4,-0.9,-1.2,0.1
2013-14,28,MEM,NBA,SG,49,1469,13.5,.574,.329,.209,1.7,9.5,5.6,8.7,1.6,1.1,9.3,16.3,,2.2,1.5,3.7,.120,,0.8,0.2,1.0,1.1
2014-15,29,MEM,NBA,SG,77,2354,11.5,.555,.348,.201,1.0,7.6,4.3,9.8,1.7,0.4,10.0,15.2,,2.5,2.4,4.8,.099,,0.3,0.2,0.5,1.5
2015-16,30,TOT,NBA,SG,79,2334,11.5,.551,.340,.185,1.4,8.7,4.9,9.1,1.9,1.1,9.4,14.7,,2.1,1.7,3.9,.080,,-0.5,-0.1,-0.6,0.9
2015-16,30,MEM,NBA,SG,51,1489,11.7,.556,.329,.220,1.4,7.9,4.5,8.1,1.8,1.0,9.6,15.3,,1.5,0.8,2.2,.072,,-0.2,-0.7,-1.0,0.4
2015-16,30,CHO,NBA,SG,28,845,11.2,.540,.359,.118,1.3,10.1,5.6,10.9,2.0,1.2,9.0,13.6,,0.7,1.0,1.6,.093,,-0.9,1.0,0.2,0.5
2016-17,31,NYK,NBA,SG,46,1438,11.3,.551,.400,.120,2.7,8.5,5.5,9.0,1.4,0.8,7.1,13.5,,1.9,0.6,2.4,.082,,0.4,-0.8,-0.3,0.6
