Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Jim Jackson,,6.6,5.4,4.9,4.4,3.2,2.8,2.8,2.5,2.5,2.5,0.6,0.1,-0.8,-1.6
Raymond Felton,89.4,6.5,5.4,4.3,4.2,3.4,2.7,2.6,2.3,2.2,1.7,0.2,,,
Greg Anthony,84.9,5.5,4.8,4.6,4.1,3.5,2.9,2.8,2.7,2.2,1.6,1.1,,,
Guy Rodgers,84.1,6.2,4.8,4.3,4.0,2.8,2.5,2.4,2.3,2.1,1.3,0.6,-0.2,,
J.R. Smith,84.0,6.7,5.8,5.5,5.0,3.7,3.7,3.7,3.7,2.7,2.5,1.2,0.2,,
Jarrett Jack,83.6,5.6,4.8,4.8,4.1,3.8,3.2,2.6,2.4,2.3,1.2,0.9,,,
Johnny Davis,83.4,5.7,5.2,5.1,4.4,4.3,3.5,3.3,3.0,2.5,1.7,,,,
Adrian Smith,83.3,6.1,5.2,5.1,4.4,3.4,2.6,1.9,1.8,1.5,0.8,0.5,,,
Jon Barry,82.9,7.5,5.6,4.2,3.9,2.8,2.4,2.4,2.4,2.1,1.8,1.1,0.9,0.4,-0.1
Craig Ehlo,82.7,6.5,6.2,5.9,4.6,3.8,3.4,3.3,3.1,2.1,1.2,0.5,0.3,0.2,0.0
Luke Ridnour,82.7,6.2,5.4,4.4,4.3,4.0,3.4,3.3,2.3,1.2,0.9,0.6,0.1,,
