Player,Sim,1,2,3,4,5,6
Gordan Giricek,,2.4,1.9,1.8,1.6,0.5,-0.2
Mike Bratz,88.6,2.7,2.1,1.7,1.5,0.4,-0.1
Med Park,88.5,1.9,1.9,1.8,1.6,0.4,
Randy Brown,88.1,2.4,1.9,1.6,1.5,0.4,0.3
Jon Barry,85.7,2.4,2.1,1.8,1.1,0.9,-0.1
Jerry Fleishman,85.5,2.2,2.1,1.6,1.3,0.6,
Lee Mayberry,84.9,2.1,1.8,1.6,1.6,0.4,0.4
Iman Shumpert,84.6,2.4,2.0,1.9,1.7,1.5,
Rasual Butler,84.4,2.6,1.7,1.7,1.6,1.2,0.1
Shaun Livingston,82.2,2.4,1.9,1.3,1.2,0.4,0.1
Al Bianchi,80.1,2.4,1.8,1.5,0.8,0.8,-0.1
