Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2004-05,19,ORL,NBA,PF,82,82,2670,6.7,12.8,.520,0.0,0.0,.000,6.7,12.8,.521,5.3,7.8,.671,5.4,10.2,15.6,1.4,1.5,2.6,3.1,4.4,18.6,,111,104
2005-06,20,ORL,NBA,PF,82,81,3021,8.4,15.9,.531,0.0,0.0,.000,8.4,15.8,.532,6.4,10.8,.595,5.2,13.2,18.4,2.2,1.2,2.1,3.9,5.0,23.2,,108,103
2006-07,21,ORL,NBA,C,82,82,3023,9.3,15.4,.603,0.0,0.0,.500,9.3,15.4,.603,6.9,11.8,.586,5.0,12.8,17.8,2.8,1.2,2.8,5.6,4.3,25.5,,107,99
2007-08,22,ORL,NBA,C,82,82,3088,9.7,16.2,.599,0.0,0.1,.000,9.7,16.1,.601,8.8,14.9,.590,4.6,14.7,19.3,1.8,1.2,2.9,4.4,4.6,28.2,,113,99
2008-09,23,ORL,NBA,C,79,79,2821,10.3,18.0,.572,0.0,0.0,.000,10.3,18.0,.573,9.3,15.6,.594,6.2,13.9,20.1,2.1,1.4,4.3,4.4,5.0,29.9,,113,95
2009-10,24,ORL,NBA,C,82,82,2843,9.4,15.3,.612,0.0,0.1,.000,9.4,15.2,.617,8.9,15.0,.592,5.2,14.6,19.8,2.6,1.4,4.2,5.0,5.3,27.6,,113,95
2010-11,25,ORL,NBA,C,78,78,2935,11.1,18.7,.593,0.0,0.1,.000,11.1,18.6,.597,9.8,16.4,.596,5.5,14.1,19.7,1.9,1.9,3.3,5.0,4.6,32.0,,113,94
2011-12,26,ORL,NBA,C,54,54,2070,10.8,18.9,.573,0.0,0.2,.000,10.8,18.7,.579,7.3,14.9,.491,5.2,15.2,20.4,2.7,2.1,3.0,4.6,4.1,29.0,,106,96
2012-13,27,LAL,NBA,C,76,76,2722,8.8,15.2,.578,0.0,0.1,.167,8.8,15.1,.581,6.6,13.5,.492,4.7,13.0,17.6,2.0,1.6,3.5,4.2,5.4,24.2,,105,100
2013-14,28,HOU,NBA,C,71,71,2396,9.8,16.6,.591,0.0,0.1,.286,9.8,16.5,.594,7.3,13.3,.547,4.8,13.2,18.0,2.7,1.2,2.7,4.8,5.0,27.0,,109,101
2014-15,29,HOU,NBA,C,41,41,1223,10.2,17.2,.593,0.0,0.1,.500,10.2,17.1,.594,5.8,11.0,.528,4.5,13.0,17.5,2.0,1.1,2.2,4.7,5.6,26.3,,105,100
2015-16,30,HOU,NBA,C,71,71,2280,8.0,12.9,.620,0.0,0.1,.000,8.0,12.8,.626,5.0,10.2,.489,5.1,12.9,18.0,2.1,1.5,2.4,3.6,4.7,21.0,,111,104
2016-17,31,ATL,NBA,C,45,45,1335,9.0,14.0,.641,0.0,0.0,,9.0,14.0,.641,5.1,9.0,.564,7.2,14.4,21.6,2.1,1.5,2.1,3.6,4.9,23.0,,118,100
