Season,Team,Lg,Salary
2009-10,Utah Jazz,NBA,"$457,588"
2010-11,Portland Trail Blazers,NBA,"$5,765,000"
2011-12,Portland Trail Blazers,NBA,"$6,135,160"
2012-13,Portland Trail Blazers,NBA,"$6,505,320"
2013-14,Portland Trail Blazers,NBA,"$6,875,480"
2014-15,Portland Trail Blazers,NBA,"$7,245,640"
2015-16,Dallas Mavericks,NBA,"$16,400,000"
