Player,Sim,1,2,3,4,5,6,7,8
Scott Padgett,,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Don Ford,94.0,3.5,2.8,2.5,2.0,1.5,0.6,-0.1,
Derrick Williams,91.3,3.6,3.0,2.6,2.1,1.8,,,
Keith Erickson,90.7,3.3,2.9,2.8,2.1,1.9,0.5,0.2,-0.2
Mark Landsberger,90.0,3.4,2.2,2.2,1.9,1.7,0.4,0.3,
Lawrence Funderburke,89.7,3.7,3.1,2.1,1.9,1.6,0.5,0.1,
Lavoy Allen,89.1,3.7,2.8,2.5,1.6,1.5,,,
Barry Clemens,87.5,3.5,3.5,2.8,1.8,1.7,0.9,0.1,0.1
E.C. Coleman,87.5,3.2,2.7,2.6,2.5,1.7,0.1,,
Sidney Green,86.7,3.4,2.7,2.5,2.0,1.9,1.7,0.6,0.3
Ron Behagen,86.2,4.3,2.4,2.2,2.0,1.8,0.2,0.1,
