Player,Sim,1,2,3,4,5,6,7,8
Darius Miles,,3.6,3.4,3.0,1.3,0.5,-1.0,-1.3,
Dwight Davis,72.2,3.7,3.3,2.3,1.5,0.6,,,
Don Collins,71.5,3.5,3.4,2.6,0.9,0.0,0.0,,
Marv Roberts,70.2,4.3,3.4,2.4,1.2,0.4,-0.2,,
Tom Abernethy,70.1,4.1,3.7,3.1,2.0,0.4,,,
Jason Caffey,67.5,3.9,3.5,2.7,1.6,0.6,0.5,0.4,0.3
Dave Budd,67.2,4.1,3.2,2.3,1.2,0.9,,,
James Johnson,66.7,4.1,3.0,2.6,1.3,0.8,0.6,-0.5,
Derrek Dickey,66.1,3.8,3.1,2.3,1.7,0.3,,,
John Henson,66.0,3.6,3.3,2.3,1.9,,,,
Jahidi White,66.0,3.3,3.2,2.1,1.2,0.6,0.2,-0.1,
