Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Andre Iguodala,,9.6,9.2,7.7,7.5,7.3,6.7,6.7,6.6,5.8,5.6,5.1,4.4,,,
Calvin Murphy,90.3,9.2,8.8,8.3,8.0,7.7,7.4,7.4,7.2,6.8,5.4,5.0,1.6,1.3,,
Isiah Thomas,89.3,11.2,9.1,8.8,7.6,7.6,7.4,7.0,6.7,5.8,3.7,3.4,2.3,0.2,,
Earl Monroe,89.0,9.3,8.8,8.3,7.8,7.8,7.2,7.1,6.6,5.8,2.8,2.5,2.5,1.1,,
Bob Cousy,88.9,8.8,8.7,8.1,7.8,7.8,7.7,7.2,7.2,6.8,6.3,5.4,5.2,3.9,0.1,
Mitch Richmond,88.5,10.8,9.3,8.0,7.9,7.1,6.4,5.6,5.2,5.2,4.9,3.3,3.1,1.6,0.9,
Rolando Blackman,88.5,9.8,8.0,7.3,7.0,6.8,6.8,5.7,5.7,5.5,4.1,3.8,2.9,2.4,,
Dennis Johnson,88.2,8.4,8.1,7.4,6.7,6.6,6.6,6.4,5.8,5.7,5.2,5.0,4.5,3.8,2.5,
Joe Dumars,87.7,9.9,9.1,8.8,8.7,8.2,7.0,6.0,5.9,5.9,4.4,4.2,3.2,3.2,1.7,
Michael Finley,87.3,8.5,8.3,7.6,7.5,6.7,6.3,6.3,5.5,5.4,5.0,4.7,4.4,4.2,3.9,1.0
Dan Majerle,87.2,9.8,9.8,7.7,7.3,7.2,6.1,5.5,5.5,5.3,3.5,3.5,2.6,2.5,2.1,
