Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2000-01,21,SAC,NBA,SF,74,1245,11.7,.509,.257,.334,4.4,13.6,9.1,8.3,2.1,1.3,12.5,15.6,,1.0,1.8,2.8,.106,,-1.6,0.9,-0.8,0.4
2001-02,22,SAC,NBA,SF,80,1970,14.2,.514,.249,.335,3.5,16.0,9.8,12.2,1.5,1.0,9.3,19.2,,2.5,2.7,5.2,.127,,-0.2,0.3,0.1,1.1
2002-03,23,SAC,NBA,SF,67,1175,12.0,.509,.199,.281,3.4,13.3,8.6,10.9,1.1,0.7,10.2,18.4,,1.1,1.5,2.6,.105,,-1.7,-0.5,-2.2,-0.1
2003-04,24,SAS,NBA,SF,80,2073,14.1,.516,.374,.250,2.8,16.3,9.7,12.5,2.1,1.1,11.6,18.1,,2.2,4.5,6.7,.155,,0.0,2.2,2.2,2.2
2004-05,25,ORL,NBA,SF,67,1757,16.0,.532,.313,.288,4.0,10.7,7.4,14.9,1.2,0.7,11.9,24.8,,2.4,1.0,3.4,.092,,1.5,-2.3,-0.8,0.5
2005-06,26,ORL,NBA,SF,78,2615,16.7,.578,.323,.338,3.4,12.1,7.9,14.3,1.5,0.6,11.4,20.6,,5.8,1.9,7.6,.140,,3.0,-0.7,2.3,2.8
2006-07,27,ORL,NBA,SF,73,2268,14.2,.528,.341,.266,3.2,12.5,8.0,17.9,1.6,0.6,13.5,21.7,,2.3,2.6,4.9,.105,,1.3,-0.2,1.1,1.8
2007-08,28,ORL,NBA,SF,82,3026,17.8,.576,.340,.321,3.3,14.2,9.0,22.9,1.3,0.6,15.0,24.8,,5.6,3.5,9.0,.143,,2.9,0.5,3.3,4.1
2008-09,29,ORL,NBA,SF,77,2815,14.8,.541,.367,.380,1.8,14.2,8.2,22.5,1.2,0.5,14.6,23.0,,3.0,4.4,7.3,.125,,0.9,1.2,2.1,2.9
2009-10,30,TOR,NBA,SF,74,2272,13.3,.540,.429,.335,2.2,15.2,8.9,19.5,1.2,1.1,13.9,18.1,,2.6,0.8,3.4,.071,,1.5,-0.5,1.0,1.7
2010-11,31,TOT,NBA,SF-PF,81,2540,13.4,.555,.429,.216,2.1,14.0,8.2,21.5,1.5,1.0,14.3,16.7,,3.4,3.4,6.8,.129,,1.1,1.5,2.7,3.0
2010-11,31,PHO,NBA,PF,25,630,13.1,.567,.503,.187,3.7,14.7,9.2,13.7,1.5,1.6,12.9,17.2,,0.8,0.4,1.2,.092,,1.3,0.5,1.8,0.6
2010-11,31,ORL,NBA,SF,56,1910,13.6,.550,.403,.227,1.6,13.8,7.8,24.0,1.5,0.8,14.8,16.6,,2.7,3.0,5.6,.142,,1.1,1.9,3.0,2.4
2011-12,32,ORL,NBA,SF,53,1653,11.7,.528,.512,.188,1.7,12.4,7.0,24.1,1.5,0.8,20.6,19.5,,0.6,1.5,2.1,.060,,0.0,0.1,0.1,0.9
2012-13,33,ORL,NBA,SF,11,189,3.4,.288,.453,.113,2.4,13.2,7.8,17.2,1.9,0.4,17.7,16.3,,-0.6,0.1,-0.5,-0.116,,-6.6,-0.6,-7.3,-0.3
2013-14,34,LAC,NBA,SF,38,392,11.3,.492,.459,.165,3.2,21.4,12.6,11.9,2.4,2.0,12.0,15.0,,0.1,0.7,0.8,.095,,-1.9,2.1,0.2,0.2
2014-15,35,LAC,NBA,SF,62,705,10.5,.602,.739,.059,0.8,14.7,7.9,7.5,1.4,0.8,13.1,14.2,,0.6,0.6,1.2,.081,,-0.1,-0.8,-0.9,0.2
