Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Kirk Hinrich,,10.1,7.6,7.2,4.1,4.0,3.8,3.6,3.1,3.0,2.6,1.8,1.0,0.6,,,,,
Avery Johnson,86.5,9.1,8.0,6.7,6.3,5.2,4.1,3.9,3.4,3.0,2.6,1.6,1.3,0.5,0.4,0.3,0.2,,
Sleepy Floyd,86.1,10.0,7.7,7.5,6.3,4.4,4.4,3.7,3.1,2.2,1.0,0.9,-0.2,-0.4,,,,,
Jerry Stackhouse,85.6,9.2,7.3,6.5,5.8,4.7,4.1,3.5,2.4,2.3,2.1,1.9,1.2,0.9,0.4,0.3,0.2,0.0,-0.4
Kendall Gill,85.5,8.8,6.7,5.9,4.7,4.6,3.7,3.2,2.9,2.6,1.9,1.8,0.7,0.5,0.4,-0.4,,,
Wesley Person,85.1,10.3,6.9,5.2,4.0,3.8,3.7,3.3,2.6,1.6,1.3,1.2,,,,,,,
Alvin Robertson,84.4,8.6,7.7,7.5,5.8,5.3,4.4,3.6,3.4,3.1,2.8,,,,,,,,
Don Buse,84.1,10.6,7.1,6.0,5.4,4.7,4.6,4.6,4.4,2.6,2.2,2.0,1.7,1.3,,,,,
Jalen Rose,83.7,7.3,7.3,5.7,4.8,3.8,3.6,3.3,2.9,2.5,2.1,1.8,1.5,0.6,,,,,
Randy Smith,83.5,9.4,7.9,7.2,6.4,5.8,5.7,4.2,3.3,3.0,2.5,2.4,2.2,,,,,,
Andy Phillip,82.9,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,,,,,,,,
