Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2001-02,20,TOT,NBA,SG,77,1916,11.8,.478,.223,.091,4.3,10.8,7.5,15.0,1.6,0.8,10.5,16.0,,1.1,1.9,3.0,.075,,-1.4,0.3,-1.1,0.4
2001-02,20,BOS,NBA,SG,48,1003,12.0,.494,.297,.088,4.3,11.1,7.6,12.5,1.7,0.7,8.3,15.2,,0.8,1.2,2.0,.094,,-1.5,0.2,-1.3,0.2
2001-02,20,PHO,NBA,SG,29,913,11.5,.462,.146,.094,4.3,10.4,7.3,17.7,1.5,0.9,12.5,16.8,,0.3,0.7,1.0,.054,,-1.3,0.3,-1.0,0.2
2002-03,21,PHO,NBA,SG,82,2255,11.6,.472,.258,.156,2.8,10.5,6.6,15.1,1.4,0.6,11.3,19.1,,0.9,1.9,2.8,.060,,-1.0,-0.6,-1.6,0.2
2003-04,22,PHO,NBA,SG,82,3331,13.9,.491,.211,.180,2.7,10.5,6.6,18.6,1.4,0.6,12.5,21.6,,2.2,1.1,3.3,.047,,0.3,-1.1,-0.8,1.0
2004-05,23,PHO,NBA,SF,82,3240,15.1,.556,.314,.153,4.2,9.5,7.0,13.2,1.2,0.5,10.5,19.0,,5.8,1.7,7.6,.112,,2.5,-0.2,2.3,3.5
2005-06,24,ATL,NBA,SG,82,3340,17.9,.537,.258,.237,3.4,8.8,6.0,29.1,1.6,0.7,14.8,24.6,,5.5,0.4,6.0,.086,,3.0,-2.4,0.7,2.2
2006-07,25,ATL,NBA,SG,57,2359,19.5,.558,.274,.276,2.7,9.6,6.1,21.8,1.4,0.4,12.1,28.3,,4.1,1.0,5.1,.105,,4.0,-2.5,1.6,2.1
2007-08,26,ATL,NBA,SG,82,3343,17.3,.535,.297,.253,2.9,9.9,6.4,25.5,1.3,0.4,11.8,25.6,,5.3,1.7,7.0,.100,,3.1,-1.9,1.1,2.7
2008-09,27,ATL,NBA,SG,79,3124,18.2,.534,.292,.255,2.4,10.5,6.5,26.4,1.4,0.5,11.0,26.6,,5.1,2.5,7.6,.116,,2.9,-1.2,1.7,3.0
2009-10,28,ATL,NBA,SG,76,2886,19.3,.538,.253,.194,3.0,11.4,7.1,22.0,1.5,0.1,8.8,26.3,,6.0,2.4,8.4,.140,,3.5,-1.3,2.2,3.0
2010-11,29,ATL,NBA,SG,72,2554,16.4,.517,.258,.209,2.8,10.9,6.9,24.0,1.0,0.2,10.3,26.3,,2.5,1.8,4.2,.080,,1.6,-1.8,-0.2,1.2
2011-12,30,ATL,NBA,SG,60,2127,18.4,.557,.346,.200,2.9,9.2,6.1,19.7,1.2,0.5,10.3,24.9,,4.4,2.1,6.4,.145,,3.4,-1.4,2.1,2.2
2012-13,31,BRK,NBA,SG,72,2642,14.1,.521,.375,.153,2.4,7.4,4.9,16.7,1.0,0.4,9.9,21.7,,3.9,1.2,5.1,.092,,1.9,-1.7,0.3,1.5
2013-14,32,BRK,NBA,SG,79,2575,15.5,.564,.397,.192,2.2,10.3,6.3,15.0,1.0,0.3,9.8,22.3,,3.9,1.0,4.9,.091,,2.0,-2.2,-0.1,1.2
2014-15,33,BRK,NBA,SG,80,2791,14.1,.523,.329,.172,2.1,13.3,7.7,17.1,1.1,0.4,11.1,20.3,,2.6,1.5,4.1,.070,,0.9,-0.7,0.2,1.5
2015-16,34,TOT,NBA,SF,81,2703,12.0,.538,.364,.165,2.0,10.2,6.1,18.0,1.1,0.1,14.7,17.9,,1.9,0.8,2.7,.048,,0.3,-1.6,-1.3,0.4
2015-16,34,BRK,NBA,SF,57,1934,10.7,.512,.377,.178,1.9,11.2,6.5,18.0,1.0,0.1,15.0,17.8,,0.6,0.2,0.7,.018,,-0.4,-1.7,-2.2,-0.1
2015-16,34,MIA,NBA,SF,24,769,15.2,.603,.335,.135,2.3,7.6,5.0,17.9,1.4,0.2,13.9,18.4,,1.3,0.6,2.0,.123,,2.0,-1.3,0.8,0.5
2016-17,35,UTA,NBA,SF,49,1089,11.8,.531,.395,.123,2.0,12.9,7.7,11.8,0.8,0.7,9.4,18.0,,0.7,1.3,2.0,.089,,-0.9,-0.1,-0.9,0.3
