Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
1997-98,22,IND,NBA,PF,26,243,7.7,.412,.151,.163,5.2,16.5,11.1,5.4,2.0,1.5,12.4,20.6,,-0.4,0.4,0.0,.003,,-5.4,0.2,-5.2,-0.2
1998-99,23,IND,NBA,PF,27,249,12.3,.540,.387,.307,7.8,13.6,10.7,6.8,1.6,2.4,21.3,20.8,,0.1,0.2,0.3,.054,,-0.6,-0.4,-1.1,0.1
1999-00,24,IND,NBA,PF,81,1885,16.7,.553,.266,.354,8.3,21.8,15.3,7.6,1.2,2.1,13.8,21.1,,2.8,2.6,5.4,.138,,0.3,0.5,0.8,1.3
2000-01,25,IND,NBA,PF,81,1874,14.3,.512,.295,.330,7.7,15.5,11.7,8.8,1.0,1.9,14.5,23.4,,1.2,2.0,3.2,.082,,-0.8,-1.0,-1.9,0.1
2001-02,26,IND,NBA,PF,76,1286,14.3,.518,.324,.254,6.7,18.8,12.9,10.1,1.1,1.6,11.9,19.9,,1.2,1.4,2.6,.098,,-0.6,-0.5,-1.1,0.3
2002-03,27,IND,NBA,PF,49,633,16.1,.530,.330,.311,7.3,19.9,13.7,14.9,0.5,1.5,10.5,18.9,,1.2,0.8,2.0,.151,,0.6,-0.6,0.0,0.3
2003-04,28,IND,NBA,PF,77,1051,14.4,.549,.469,.339,6.7,20.8,13.7,8.5,1.3,1.0,13.5,18.3,,1.6,1.8,3.4,.156,,0.0,0.0,0.1,0.5
2004-05,29,IND,NBA,PF,73,1827,13.5,.531,.350,.515,6.8,17.5,12.2,9.5,1.4,0.7,14.6,18.7,,1.8,2.2,4.1,.107,,-0.5,0.2,-0.3,0.8
2005-06,30,IND,NBA,PF,50,1148,15.2,.618,.491,.358,6.4,19.8,13.3,9.1,1.0,0.4,12.7,15.3,,2.5,1.7,4.1,.173,,1.3,0.6,2.0,1.2
2006-07,31,DAL,NBA,PF,61,727,10.9,.463,.410,.234,5.6,24.8,15.4,9.2,1.0,0.6,11.9,17.8,,0.1,1.1,1.3,.083,,-2.4,0.0,-2.4,-0.1
2007-08,32,GSW,NBA,PF,44,457,13.2,.573,.445,.234,7.4,17.3,12.2,9.0,0.9,1.0,12.7,16.0,,0.8,0.3,1.1,.112,,-0.1,-1.6,-1.7,0.0
2008-09,33,TOT,NBA,PF,14,100,14.2,.452,.385,.308,12.7,28.1,20.1,14.4,0.5,0.8,11.9,23.0,,0.0,0.1,0.1,.052,,-1.8,-1.0,-2.9,0.0
2008-09,33,MIL,NBA,PF,11,77,17.2,.517,.367,.367,10.3,27.3,18.4,12.9,0.7,1.1,10.3,22.6,,0.1,0.1,0.2,.117,,-0.2,-1.3,-1.5,0.0
2008-09,33,SAS,NBA,PF,3,23,4.3,.212,.444,.111,21.0,30.7,25.9,19.3,0.0,0.0,17.5,24.1,,-0.1,0.0,-0.1,-0.166,,-7.4,-0.1,-7.5,0.0
