Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2003-04,27,DEN,NBA,C,62,875,11.2,.498,.005,.226,8.3,18.1,13.1,5.6,2.1,3.1,13.8,12.7,,0.6,1.2,1.8,.097,,-2.6,1.7,-1.0,0.2
2004-05,28,DEN,NBA,C,67,939,10.7,.494,.014,.366,7.5,17.1,12.3,5.5,1.9,3.3,13.8,13.8,,0.2,1.4,1.6,.081,,-3.6,1.8,-1.7,0.1
2005-06,29,DEN,NBA,C,72,1579,10.1,.556,.018,.261,7.4,17.6,12.5,4.4,1.7,2.1,17.0,10.8,,0.8,2.0,2.9,.087,,-2.5,1.9,-0.6,0.6
2006-07,30,SAS,NBA,C,70,1332,11.2,.552,.007,.284,7.7,22.2,15.2,6.4,1.2,3.3,21.3,14.4,,0.2,2.9,3.1,.111,,-3.7,3.4,-0.3,0.6
2007-08,31,TOT,NBA,C,63,813,6.9,.416,.004,.157,7.1,21.0,14.2,4.6,1.0,1.8,15.7,17.0,,-1.3,1.2,0.0,-0.001,,-7.2,0.7,-6.5,-0.9
2007-08,31,SAS,NBA,C,41,534,8.5,.454,.000,.162,7.4,22.2,14.9,4.8,0.9,2.0,15.9,16.9,,-0.5,1.0,0.5,.043,,-6.6,1.3,-5.3,-0.4
2007-08,31,SEA,NBA,C,22,279,3.8,.352,.011,.148,6.7,18.7,12.7,4.2,1.1,1.5,15.4,17.2,,-0.7,0.2,-0.5,-0.085,,-8.3,-0.5,-8.8,-0.5
2008-09,32,MIL,NBA,C,59,977,10.3,.537,.024,.231,11.6,16.3,13.8,4.8,1.9,3.1,20.5,10.8,,0.5,1.3,1.8,.089,,-2.5,2.7,0.1,0.5
2009-10,33,TOT,NBA,C,12,66,5.5,.349,.000,.333,10.0,14.5,12.1,4.3,0.8,0.0,5.5,12.5,,0.0,0.1,0.0,.022,,-6.0,-0.8,-6.8,-0.1
2009-10,33,MIL,NBA,C,11,62,5.4,.360,.000,.154,8.7,15.4,11.9,4.6,0.8,0.0,6.7,10.9,,0.0,0.1,0.1,.044,,-5.8,0.1,-5.8,-0.1
2009-10,33,PHI,NBA,C,1,4,6.3,.301,.000,1.500,29.0,0.0,14.7,0.0,0.0,0.0,0.0,37.8,,0.0,0.0,0.0,-0.326,,-9.0,-14.5,-23.5,0.0
2010-11,34,UTA,NBA,C,62,610,8.9,.529,.000,.274,6.9,16.0,11.4,7.9,1.8,1.9,20.2,11.9,,0.1,0.5,0.6,.046,,-3.5,0.4,-3.1,-0.2
2011-12,35,PHI,NBA,C,5,16,6.3,.333,.000,.000,0.0,7.0,3.5,8.8,3.3,4.7,25.0,11.7,,0.0,0.0,0.0,-0.026,,-8.6,4.3,-4.3,0.0
