Player,Sim,1,2,3,4
Mario West,,0.5,0.4,0.3,0.2
Kennard Winchester,79.4,0.5,0.4,0.3,
Tracy Moore,78.6,0.6,0.5,0.3,0.1
Royal Ivey,77.1,0.7,0.5,0.3,0.2
Darrin Hancock,73.6,0.5,0.4,0.2,
Keith McLeod,63.2,0.8,0.6,0.3,0.2
Gerald Glass,62.2,0.9,0.5,0.3,0.1
Greg Graham,61.0,0.8,0.3,0.3,0.1
Corey Gaines,55.4,0.6,0.3,0.2,-0.1
Chris Corchiani,54.4,0.9,0.4,0.3,
Jorge Gutierrez,50.7,0.3,0.3,0.2,
