Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2010-11,22,NOH,NBA,SF,66,734,.406,12.7,.722,.233,.239,.067,.183,.278,.423,.571,.372,.417,.303,.360,.564,.044,6,.944,.760,.368,0,0
2011-12,23,MEM,NBA,SF,64,1002,.452,12.9,.695,.351,.092,.071,.180,.305,.518,.655,.182,.353,.488,.301,.616,.067,15,.955,.685,.360,2,0
2012-13,24,MEM,NBA,SF,59,1243,.428,15.4,.492,.274,.100,.057,.060,.508,.463,.561,.433,.176,.333,.395,.485,.070,18,.983,.586,.449,2,0
2013-14,25,MEM,NBA,SG,15,270,.392,14.6,.570,.291,.139,.076,.063,.430,.444,.522,.455,.333,.200,.324,.500,.076,6,.909,.353,.333,0,0
2014-15,26,TOT,NBA,SF-SG,75,1793,.421,16.6,.454,.242,.101,.047,.065,.546,.478,.583,.311,.381,.414,.373,.629,.038,16,.912,.414,.465,2,0
2014-15,26,MEM,NBA,SG,30,540,.356,16.5,.459,.259,.089,.030,.081,.541,.500,.543,.250,.500,.636,.233,.613,.044,6,.882,.411,.333,1,0
2014-15,26,NOP,NBA,SF,45,1253,.449,16.6,.452,.234,.106,.054,.058,.548,.468,.603,.333,.353,.278,.433,.636,.035,10,.919,.415,.521,1,0
