Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Doug Christie,,8.9,8.7,8.6,7.0,5.7,5.1,4.2,4.0,1.4,1.4,0.9,0.1,0.1,-0.1,-0.3
Kevin Martin,90.0,10.2,9.5,8.4,7.0,5.5,5.3,4.7,4.2,3.3,1.9,1.2,0.1,,,
Larry Costello,88.3,9.2,8.6,8.5,8.0,5.9,5.7,5.7,3.5,3.4,2.5,1.5,0.2,,,
Darrell Armstrong,88.2,8.7,8.0,7.6,6.4,5.3,4.9,3.2,2.5,1.8,0.8,0.3,0.1,0.1,0.0,
Ron Boone,88.1,9.7,8.3,8.1,6.2,5.9,5.9,5.1,4.0,2.8,2.6,1.0,0.4,-0.6,,
Baron Davis,88.1,8.9,8.7,8.2,7.5,6.4,4.5,4.5,4.4,4.4,2.8,2.1,0.6,0.2,,
Mike Conley,87.1,9.9,8.2,6.8,6.6,6.4,5.3,4.5,4.0,1.1,,,,,,
Andy Phillip,87.1,9.7,7.7,7.4,7.1,5.5,4.8,3.8,3.1,2.9,1.5,,,,,
Otis Birdsong,86.6,8.8,8.6,8.2,5.2,4.5,4.2,4.2,3.2,1.6,0.0,-0.1,-0.1,,,
Jose Calderon,86.5,10.2,7.5,7.4,6.3,5.4,5.1,4.2,4.0,3.7,0.9,0.9,,,,
Carl Braun,86.4,9.0,8.6,7.6,7.2,6.2,5.3,4.7,4.5,3.7,3.6,3.0,0.5,0.4,,
