Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16 <3,3P,2P,0-3,3-10,10-16,16 <3,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
Career,,,NBA,,203,3048,.509,8.6,.998,.442,.138,.115,.302,.002,.509,.641,.342,.426,.425,.000,.851,.106,46,,.000,,0,0
1 season,,MIN,NBA,,76,1209,.457,10.2,1.000,.356,.129,.119,.396,.000,.457,.586,.278,.485,.391,,.913,.090,22,,,,0,0
1 season,,BOS,NBA,,55,766,.545,8.8,1.000,.455,.107,.116,.322,.000,.545,.636,.385,.500,.487,,.894,.099,9,,,,0,0
1 season,,NOP,NBA,,55,1007,.574,5.2,.992,.615,.180,.107,.090,.008,.579,.707,.409,.154,.545,.000,.700,.148,14,,.000,,0,0
1 season,,TOR,NBA,,17,66,.750,3.8,1.000,.625,.250,.125,.000,.000,.750,.800,.500,1.000,,,.833,.125,1,,,,0,0
