Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Eric Williams,,6.0,3.1,2.9,2.5,2.2,2.2,2.1,1.6,0.2,0.1,0.1,0.1
Alan Henderson,81.9,6.0,4.3,3.1,3.1,2.6,2.0,1.9,1.6,1.3,1.3,0.7,0.2
Tony Campbell,81.5,5.3,3.7,2.5,2.5,2.1,1.5,1.4,1.1,0.4,0.4,-0.3,
Tom Hawkins,79.3,4.1,3.2,2.9,2.5,2.4,2.3,2.3,2.1,1.2,1.0,,
Gary Trent,79.2,5.5,4.0,3.3,3.1,3.0,2.3,1.7,0.4,0.1,,,
Chris Wilcox,79.0,6.0,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2,
Dorell Wright,78.2,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,
Jackie Moreland,78.0,5.3,3.6,2.6,2.5,2.3,2.3,0.5,0.1,,,,
Earl Lloyd,77.9,5.2,3.6,2.9,2.4,2.2,1.3,0.7,0.6,0.4,,,
Shandon Anderson,77.9,4.9,4.2,3.9,2.7,2.1,2.0,1.7,1.2,0.5,0.4,,
Stromile Swift,77.7,4.8,3.7,3.3,2.9,2.5,1.9,1.4,1.0,-0.1,,,
