Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP
2006-07,21,UTA,NBA,PF,82,1472,17.6,.571,.008,.523,15.1,19.8,17.5,6.7,2.4,4.2,16.1,17.8,,2.4,2.3,4.7,.153,,0.3,2.6,2.9,1.8
2007-08,22,UTA,NBA,PF,82,1702,16.1,.548,.008,.456,12.1,20.8,16.5,7.0,2.2,3.5,12.6,18.1,,2.5,2.7,5.2,.148,,-0.2,2.1,1.9,1.7
2008-09,23,UTA,NBA,PF,76,2290,18.6,.576,.005,.435,13.1,21.0,17.0,9.8,1.8,2.5,12.6,20.0,,4.5,3.3,7.7,.162,,1.3,1.9,3.3,3.0
2009-10,24,UTA,NBA,PF,82,2277,16.7,.573,.013,.369,9.9,18.9,14.5,8.9,1.4,3.5,12.2,18.7,,3.7,3.5,7.2,.151,,0.1,2.1,2.1,2.4
2010-11,25,UTA,NBA,PF,76,2605,19.8,.578,.023,.342,7.5,19.4,13.4,12.6,2.1,2.2,11.3,22.6,,5.2,2.5,7.7,.143,,1.6,0.7,2.4,2.9
2011-12,26,UTA,NBA,PF,64,2100,21.8,.545,.036,.296,9.7,21.2,15.4,12.4,2.9,2.0,10.3,23.2,,4.9,2.9,7.8,.179,,2.9,2.1,5.0,3.7
2012-13,27,UTA,NBA,PF,78,2375,19.8,.550,.045,.407,8.6,18.8,13.7,14.5,2.3,2.7,11.8,22.4,,4.8,2.9,7.6,.154,,1.8,2.0,3.8,3.5
2013-14,28,ATL,NBA,PF,74,2482,19.8,.545,.202,.373,7.2,21.9,14.6,16.2,2.6,2.5,13.2,25.7,,2.7,4.0,6.7,.129,,0.7,2.4,3.1,3.2
2014-15,29,ATL,NBA,PF,73,2390,20.0,.565,.232,.362,6.9,20.0,13.6,15.4,2.8,2.4,13.3,23.8,,4.0,4.3,8.3,.166,,1.6,2.6,4.2,3.7
2015-16,30,ATL,NBA,PF,81,2647,21.3,.556,.218,.383,8.4,21.5,15.1,16.4,2.7,4.1,13.3,24.3,,4.1,6.0,10.1,.183,,1.1,4.2,5.3,4.9
2016-17,31,ATL,NBA,PF,47,1599,18.3,.533,.254,.365,5.6,20.5,13.1,18.2,2.2,2.4,12.0,24.4,,1.7,2.7,4.4,.131,,0.6,2.5,3.1,2.1
