Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
2007-08,22,NOH,NBA,PG,1,0,27:16,7,14,.500,2,6,.333,0,0,,2,3,14,4,0,2,5,16
2008-09,23,NOH,NBA,PG,1,1,29:14,7,14,.500,0,1,.000,0,0,,1,7,14,3,0,1,4,14
2009-10,24,NOH,NBA,PG,,,,,,,,,,,,,,,,,,,,
2010-11,25,NOH,NBA,PG,1,1,28:32,3,7,.429,2,3,.667,2,2,1.000,1,4,7,5,0,3,3,10
2011-12,26,LAC,NBA,PG,1,1,30:57,3,7,.429,2,5,.400,0,0,,0,5,12,1,0,2,1,8
2012-13,27,LAC,NBA,PG,1,1,27:17,7,10,.700,4,5,.800,2,3,.667,0,0,15,4,0,3,0,20
2013-14,28,LAC,NBA,PG,1,0,24:29,4,9,.444,1,4,.250,2,2,1.000,2,4,13,3,0,3,1,11
2014-15,29,LAC,NBA,PG,1,0,26:46,6,13,.462,0,3,.000,0,0,,1,6,15,2,0,2,0,12
2015-16,30,LAC,NBA,PG,1,0,19:10,5,7,.714,4,6,.667,0,0,,0,4,16,1,0,4,1,14
