Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2005-06,20,NOK,NBA,PG,78,78,2808,7.8,18.2,.430,1.0,3.4,.282,6.9,14.8,.464,7.6,8.9,.847,1.2,6.5,7.7,11.7,3.4,0.1,3.5,4.2,24.2,,114,104
2006-07,21,NOK,NBA,PG,64,64,2353,8.6,19.7,.437,1.1,3.2,.350,7.5,16.5,.455,6.6,8.1,.818,1.2,5.1,6.3,12.9,2.7,0.1,3.6,3.5,25.0,,116,106
2007-08,22,NOH,NBA,PG,80,80,3006,11.2,22.9,.488,1.6,4.4,.369,9.6,18.5,.516,5.9,6.9,.851,1.1,4.6,5.7,16.4,3.9,0.1,3.6,3.3,29.9,,125,103
2008-09,23,NOH,NBA,PG,78,78,3002,11.5,22.9,.503,1.2,3.2,.364,10.3,19.6,.525,8.3,9.5,.868,1.3,6.6,7.9,15.7,3.9,0.2,4.2,3.9,32.4,,124,103
2009-10,24,NOH,NBA,PG,45,45,1712,9.5,19.3,.493,1.6,3.8,.409,7.9,15.4,.514,4.9,5.8,.847,0.6,5.2,5.8,14.5,2.9,0.2,3.4,3.6,25.5,,122,109
2010-11,25,NOH,NBA,PG,80,80,2880,8.1,17.4,.463,1.3,3.4,.388,6.7,14.0,.482,6.3,7.2,.878,0.7,5.4,6.1,14.7,3.5,0.1,3.3,3.7,23.8,,122,103
2011-12,26,LAC,NBA,PG,60,60,2181,10.5,22.0,.478,1.9,5.3,.371,8.5,16.7,.511,6.4,7.5,.861,1.0,4.2,5.3,13.4,3.8,0.1,3.1,3.4,29.3,,126,104
2012-13,27,LAC,NBA,PG,70,70,2335,9.3,19.3,.481,1.7,5.2,.328,7.6,14.1,.538,6.5,7.3,.885,1.2,4.7,5.9,15.3,3.8,0.2,3.6,3.2,26.7,,127,102
2013-14,28,LAC,NBA,PG,62,62,2171,9.4,20.0,.467,1.8,4.9,.368,7.6,15.2,.498,6.8,8.0,.855,0.9,5.3,6.2,15.3,3.5,0.1,3.3,3.6,27.3,,125,103
2014-15,29,LAC,NBA,PG,82,82,2857,10.1,20.8,.485,2.5,6.2,.398,7.6,14.6,.523,5.1,5.7,.900,0.9,5.7,6.7,14.9,2.8,0.3,3.4,3.6,27.7,,126,105
2015-16,30,LAC,NBA,PG,74,74,2420,10.7,23.1,.462,2.5,6.8,.371,8.1,16.3,.501,6.1,6.8,.896,0.8,5.6,6.4,15.3,3.1,0.3,4.0,3.8,29.9,,119,103
2016-17,31,LAC,NBA,PG,36,36,1112,9.4,19.9,.471,3.1,7.9,.395,6.2,12.0,.521,6.3,7.2,.876,1.2,7.4,8.5,15.6,3.6,0.2,3.8,3.9,28.2,,127,105
